start	end	text
0	8440	El siguiente proceso es la shell, que ya te la presenté, entonces no lo voy a hacer otra vez, pero si no lo hiciste, reto, ponte a practicar con eso, porque es importante por dos cosas.
8720	17340	Por una parte, conocer una herramienta tan interesante como viene siendo la shell y tan útil, porque cuando no sepas por qué no está funcionando algo, ahí lo puedes hacer.
17740	27660	Y ahí puedes ver la diferencia que tenemos con la shell de Python. Recuerda que también por aquí puedes escribir, ya eso es cuando está la Python de raíz, aquí tengo un servidor, aquí tengo esto, voy a abrir otra.
27660	34800	Puedes escribir aquí Python Shell y tienes otra, para ver, Python Shell, ahora la cosa.
37780	41780	Perdón, es simplemente Python, me fui demasiado, Python.
42920	53020	Y por aquí tienes una consola también interactiva. La diferencia es que esta es simplemente Python en general, tú aquí por ejemplo no puedes referenciar a Comments ni nada por el estilo, porque te va a decir qué pasa contigo.
53020	60960	No sabes qué es esto, tienes que importarlo, pero obviamente lo que queremos es utilizar lo que tenemos en nuestro proyecto, y es por eso que tenemos esta.
61120	65820	Por lo tanto, aquí tenemos lo mismo que podemos hacer en Python, más el plus de nuestro proyecto.
66300	69680	Entonces, por una parte ya puedes aprender a trabajar con esta herramienta.
70040	73980	Ah, por cierto, estos models que aparecen aquí se sacan con escape.
73980	81100	Y por otra parte, puedes practicar con las operaciones que ya vamos a realizar en el siguiente apartado.
81660	84220	Así que bueno, aquí tenemos el Shell. Estos son los retos.
84920	86920	Bueno, no hace falta importarlo, pero, creo.
87440	89140	Pero bueno, si te lo pide, ahí lo importas.
90160	92880	Obtenerlos todos con su filtro.
92980	95700	Aquí si no existe te va a decir, aquí también puedes buscar por la pk.
96740	97980	Puedes colocar id o pk.
97980	104700	Aquí lo que es el... Ah, mira, aquí tenemos el uso de la función que te comentaba antes, que está el Sorcus.
105220	108200	Que es de getOtjar o 404. También tenemos una para los listados.
108700	111040	Ya la vamos a emplear, pero pruébalo tú y ves que es lo que te devuelven.
111100	112020	Yo no lo voy a probar por ti.
113160	115640	Aquí tenemos... Es decir, pauso este video y ahí puedes probar eso.
116260	117520	CommentDelete, que ya lo probamos.
117600	119360	El de commentSave, ya lo probamos.
120100	121260	Un filtro, ya lo probamos.
121260	122960	El de get, ya lo probamos.
123520	124640	OrderBy, medio fastidio.
125120	126040	Y el de delete, otra vez.
126040	130180	Entonces, el de orderBy lo que hace es obtener por el...
130180	131420	Ordena por un campo en particular.
132020	132860	Puedes colocar la fecha.
133040	134080	Usualmente ordena por el id.
134220	136980	Por defecto, puedes colocar el texto, etcétera, etcétera, etcétera.
137360	140960	Lo cual es extremadamente útil cuando quieras crear tu propio datatable.
141600	142560	A ver si aparece algo bonito.
143640	145660	Mir, todavía existe jQuery datatable.
145780	146500	Por los dioses.
147200	148040	Este es jQuery.
149680	151100	Creo, aunque no hice por ninguna parte.
151520	152420	Bueno, pueden que haya migrado.
152560	153840	No sé, tengo años que no veo esta página.
154640	155360	Pero es para esto.
155360	159500	Ahí puedes perfectamente crear ahí tus campos de...
159500	161960	Ordenación, precisamente, justamente con eso.
162060	165720	Entonces, ya que tienes todas las herramientas, menos la paginación, que la veremos luego.
165940	168380	Que sí, esas son las cosas que nos gustan mucho de Django, la paginación.
168640	171720	Pero ya eso lo criticaré en su momento oportuno.
172440	176180	Así que, pues nada, sin más que decir, continuamos en la siguiente clase.
176180	177180	¡Gracias!
177180	178180	¡Gracias!
178180	179180	¡Gracias!
